Mk,m (kg),W (mm),At1 (mm),ec (cm3),ep (KW),Mp_BMW GROUP,Mp_DAIMLER AG,Mp_GENERAL MOTORS,Mp_KIA,Mp_MITSUBISHI MOTORS,Mp_RENAULT,Mp_SUZUKI POOL,Mp_VW GROUP PC,Fm_B,Fm_E,Fm_M,Ft_Diesel,Ft_Diesel/Electric,Ft_Electric,Ft_LPG,Ft_NG-biomethane,Ft_Petrol,Ft_Petrol/Electric
0.4367532775653494,0.5629976580796253,0.5081967213114754,0.7267552182163186,0.24516551950180265,0.0830223880597015,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.392813908516714,0.209367681498829,0.3030880670987418,0.5028462998102468,0.12323828253031792,0.05690298507462686,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.392813908516714,0.22716627634660425,0.3030880670987418,0.5028462998102468,0.15585054080629301,0.046641791044776115,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.5035128805620609,0.4086923370186809,0.5996204933586338,0.38348082595870203,0.14832089552238803,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.392813908516714,0.17283372365339578,0.3030880670987418,0.5028462998102468,0.12323828253031792,0.04011194029850747,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.388668643194474,0.3503512880562061,0.3503621807091116,0.5426944971537,0.2164863979023271,0.046641791044776115,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.2997658079625293,0.37094929470072435,0.5787476280834913,0.22025565388397245,0.09701492537313432,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.4367532775653494,0.3466042154566744,0.37094929470072435,0.5787476280834913,0.22025565388397245,0.09701492537313432,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.3507419926677405,0.19437939110070257,0.3061380099123142,0.5939278937381403,0.133398885611275,0.046641791044776115,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.27634660421545665,0.31719405261151346,0.5161290322580645,0.24516551950180265,0.06436567164179104,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.388668643194474,0.2997658079625293,0.28936332443766666,0.4743833017077801,0.2191084890199934,0.1837686567164179,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
0.4367532775653494,0.38875878220140514,0.37094929470072435,0.5787476280834913,0.24516551950180265,0.08768656716417911,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.35734130912888196,0.4590163934426229,0.40144872283644684,0.5464895635673623,0.2164863979023271,0.09701492537313432,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0.3667480924724632,0.33255269320843095,0.36751810903545545,0.5768500948766602,0.2164863979023271,0.10167910447761193,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.38875878220140514,0.37094929470072435,0.5559772296015182,0.24516551950180265,0.08768656716417911,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.392813908516714,0.3985948477751756,0.36675562333206246,0.6148007590132827,0.21451982956407734,0.08768656716417911,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.2786885245901639,0.21463972550514676,0.5066413662239091,0.1553588987217306,0.07835820895522388,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.388668643194474,0.37845433255269323,0.3088067098741899,0.5559772296015182,0.2164863979023271,0.07369402985074627,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0.3507419926677405,0.5662763466042154,0.5013343499809378,0.8861480075901329,0.27073090789904947,0.08768656716417911,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.392813908516714,0.2622950819672131,0.3030880670987418,0.5028462998102468,0.15585054080629301,0.10820895522388059,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.4367532775653494,0.5245901639344263,0.5081967213114754,0.7267552182163186,0.24516551950180265,0.0830223880597015,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.425298630071092,0.25761124121779855,0.3137628669462448,0.4516129032258065,0.13962635201573254,0.06436567164179104,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.392813908516714,0.40655737704918027,0.34044986656500187,0.5578747628083494,0.21451982956407734,0.08768656716417911,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.4285714285714286,0.4086923370186809,0.6110056925996203,0.21353654539495248,0.10447761194029852,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
0.4367532775653494,0.4238875878220141,0.4086923370186809,0.6110056925996203,0.22025565388397245,0.09701492537313432,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.392813908516714,0.24777517564402807,0.2622950819672131,0.489563567362429,0.11750245821042281,0.06716417910447761,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.425298630071092,0.38875878220140514,0.40144872283644684,0.489563567362429,0.22140281874795148,0.14365671641791045,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.4367532775653494,0.2622950819672131,0.31719405261151346,0.5161290322580645,0.1553588987217306,0.07835820895522388,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.392813908516714,0.3503512880562061,0.34044986656500187,0.5578747628083494,0.11750245821042281,0.05317164179104478,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
0.3667480924724632,0.5105386416861827,0.4288982081585969,0.6584440227703987,0.3802032120616191,0.15111940298507465,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0.388668643194474,0.26042154566744735,0.2565764391917651,0.5464895635673623,0.2164863979023271,0.07369402985074627,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
0.425298630071092,0.4964871194379391,0.41974837971788037,0.6015180265654649,0.38446411012782694,0.18563432835820898,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
