Mk,m (kg),Enedc (g/km),W (mm),At1 (mm),ec (cm3),ep (KW),Mp_BMW GROUP,Mp_DAIMLER AG,Mp_GENERAL MOTORS,Mp_KIA,Mp_MITSUBISHI MOTORS,Mp_RENAULT,Mp_SUZUKI POOL,Mp_VW GROUP PC,Fm_B,Fm_E,Fm_M,Ft_Diesel,Ft_Diesel/Electric,Ft_Electric,Ft_LPG,Ft_NG-biomethane,Ft_Petrol,Ft_Petrol/Electric
145.70209339774559,1705.0,126.0,2920.0,1541.0,1995.0,165.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1705.0,126.0,2920.0,1541.0,1995.0,165.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1705.0,131.0,2920.0,1541.0,1995.0,165.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1705.0,131.0,2920.0,1541.0,1995.0,165.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1705.0,131.0,2920.0,1541.0,1995.0,165.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1935.0,149.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1900.0,192.0,2968.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1885.0,152.0,2968.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
149.194088899232,1890.0,166.0,2780.0,1577.0,2987.0,190.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1945.0,158.0,2968.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,2055.0,221.0,2855.0,1600.0,4395.0,330.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1935.0,153.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,2005.0,158.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1815.0,147.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1815.0,147.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1870.0,154.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1870.0,154.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1825.0,178.0,2968.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1825.0,182.0,2968.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
149.194088899232,1915.0,169.0,2780.0,1577.0,2987.0,190.0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1900.0,188.0,2968.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1900.0,192.0,2968.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1940.0,206.0,2968.0,1600.0,4395.0,330.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,2015.0,215.0,2968.0,1600.0,4395.0,330.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,2015.0,219.0,2968.0,1600.0,4395.0,330.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1885.0,147.0,2968.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1885.0,152.0,2968.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1945.0,153.0,2968.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1945.0,158.0,2968.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1895.0,184.0,2855.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
149.194088899232,2025.0,59.0,2780.0,1577.0,1991.0,155.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
145.70209339774559,1965.0,195.0,2855.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1965.0,195.0,2855.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,2005.0,213.0,2855.0,1600.0,4395.0,330.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,2005.0,213.0,2855.0,1600.0,4395.0,330.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,2055.0,221.0,2855.0,1600.0,4395.0,330.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,2055.0,221.0,2855.0,1600.0,4395.0,330.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1935.0,153.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1935.0,153.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,2005.0,158.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,2005.0,158.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
149.194088899232,2025.0,62.0,2780.0,1577.0,1991.0,155.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
145.70209339774559,1760.0,176.0,2855.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1760.0,180.0,2855.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1760.0,180.0,2855.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1840.0,187.0,2855.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1840.0,191.0,2855.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1840.0,191.0,2855.0,1600.0,2979.0,235.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1870.0,199.0,2855.0,1600.0,4395.0,330.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1870.0,206.0,2855.0,1600.0,4395.0,330.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1930.0,217.0,2855.0,1600.0,4395.0,330.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1815.0,143.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
149.194088899232,2025.0,139.0,2780.0,1577.0,1991.0,155.0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
145.70209339774559,1815.0,147.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1815.0,147.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
145.70209339774559,1870.0,149.0,2855.0,1600.0,2993.0,230.0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
